location_id,global_region,country,location_label,lower_age,upper_age,deaths,fatalities_citation_id
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",25,39,255,n-1103
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",40,59,1555,n-1103
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",60,100,10142,n-1103
220,Latin America,Brazil,Mato Grosso (8 cities),0,100,810,"n-16 , n-1081 , n-1085 , n-1089 , n-1092 , n-1093"
221,Latin America,Paraguay,Asuncion + Central Dept.,0,100,1630,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,0,4,2,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,5,14,1,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,15,19,0,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,20,29,16,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,30,39,43,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,40,49,97,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,50,59,248,n-1079
221,Latin America,Paraguay,Asuncion + Central Dept.,60,100,1204,n-1079
222,Latin America,Brazil,Distrito Federal (9 administrative regions),0,100,1982,n-1099
223,Latin America,Brazil,Rio Grande do Sul (9 cities),0,100,5739,n-16
231,Africa,Senegal,National Study,0,100,338,n-1101
233,Middle East,Oman,National Study,0,100,533,n-1102
244,Europe,Bosnia and Herzegovina,Republika Srpska,0,100,1644,n-1107
